tick,wh1_humidity,wh1_temperature,wh1_inventory,wh2_humidity,wh2_temperature,wh2_inventory,dc_capacity,dc_throughput,shipment_humidity,shipment_temperature,arm1_active,arm2_active,truck_cargo,mold_detected,retail_stock
77,42.8,25.3,680,40.7,18.8,556,37.8,359,44.1,26.6,True,True,0,False,377
78,43.0,25.2,677,38.4,17.7,556,37.3,349,41.3,25.7,True,True,1,False,376
79,43.6,25.6,675,40.9,17.4,557,37.1,334,45.2,26.9,True,True,2,True,374
80,51.2,25.3,672,40.3,17.6,556,35.1,284,51.0,24.5,True,True,3,False,375
81,52.4,25.4,670,40.1,18.2,555,36.5,302,52.0,24.7,True,True,4,False,374
82,52.9,25.5,670,38.9,19.2,555,39.6,369,52.0,27.4,True,True,5,False,372
83,52.9,24.8,669,39.2,16.8,556,36.6,362,55.1,25.7,True,True,6,False,372
84,53.3,24.7,669,40.7,20.3,554,37.7,353,50.8,26.3,True,True,7,False,372
85,55.0,24.8,666,41.2,17.7,553,39.9,395,52.6,26.5,True,True,8,False,372
86,55.7,24.3,665,41.4,19.2,551,38.6,366,56.8,23.5,True,True,9,False,372
87,55.5,24.6,663,40.9,16.4,550,39.9,380,53.3,25.7,True,True,10,False,370
88,56.5,24.2,660,42.4,17.0,549,38.9,334,55.6,25.5,True,True,0,False,369
89,57.9,24.1,657,40.7,20.0,548,43.5,326,59.9,25.4,True,True,1,False,367
90,56.8,24.0,657,42.1,19.4,547,43.4,400,59.2,23.6,True,True,2,False,366
91,58.2,24.3,655,42.4,16.5,547,44.7,403,60.4,25.0,True,True,3,False,364
92,59.3,23.6,654,44.4,18.1,545,45.2,395,61.6,25.4,True,True,4,False,363
93,58.9,23.6,653,42.8,20.2,544,41.8,353,61.4,24.0,True,True,5,False,362
94,60.2,23.7,653,43.5,19.2,544,47.4,357,57.9,23.4,True,True,6,False,361
95,60.5,23.8,650,42.2,19.3,542,45.7,370,58.9,24.0,False,False,7,False,359
96,60.0,22.9,647,46.2,17.2,542,46.6,284,59.1,22.1,True,True,8,False,360
97,61.7,23.2,646,43.1,16.3,542,48.7,402,62.5,24.6,True,True,9,False,358
98,62.5,22.8,645,44.8,17.4,542,45.2,344,59.7,23.7,True,True,10,False,357
99,63.2,23.0,644,43.6,17.3,542,47.3,407,62.4,24.4,True,True,0,False,357
100,62.2,22.6,644,45.5,18.2,541,52.4,389,60.2,22.9,True,True,1,False,358
101,64.0,22.7,641,47.8,19.9,542,49.8,392,61.2,21.9,True,True,2,False,357
102,63.8,22.5,639,46.1,20.8,542,51.6,381,62.7,22.3,True,True,3,False,356
103,63.7,22.3,639,45.7,18.3,542,54.2,331,61.4,23.9,True,True,4,False,357
104,66.0,21.7,638,47.1,16.6,540,53.6,324,67.8,22.2,True,True,5,False,356
105,65.2,22.2,636,46.3,20.1,539,50.5,402,65.4,23.5,True,True,6,False,354
106,65.4,22.0,634,50.0,16.8,539,53.8,311,65.5,21.9,True,True,7,False,355
107,67.7,22.1,632,47.4,19.0,538,55.0,416,65.3,23.0,True,True,8,False,354
108,67.6,21.6,630,47.6,20.4,538,58.1,386,68.3,20.7,True,True,9,False,355
109,68.0,21.2,628,49.9,17.6,538,55.0,398,66.2,22.0,True,True,10,False,355
110,68.9,21.6,628,50.7,20.7,536,60.2,343,66.7,20.8,True,True,0,False,354
111,69.8,21.5,627,49.8,18.3,536,60.5,285,67.3,21.7,True,True,1,False,354
112,69.1,20.5,625,50.8,18.0,535,57.6,373,70.7,20.6,True,True,2,False,355
113,70.3,20.8,623,49.6,20.7,534,57.1,375,72.1,20.8,True,True,3,False,353
114,71.2,20.6,622,50.0,16.8,535,60.5,315,70.2,21.4,True,True,4,False,353
115,72.2,20.3,620,52.6,19.6,534,60.2,386,72.7,21.7,True,True,5,False,352
116,72.2,20.3,617,50.1,16.2,532,64.8,377,70.1,21.3,True,True,6,False,351
117,73.2,19.7,617,50.7,18.8,530,61.6,295,74.4,20.3,True,True,7,False,351
118,73.9,19.9,616,52.5,20.7,529,66.2,343,72.6,19.8,True,True,8,False,350
119,74.4,20.1,615,54.0,20.1,529,65.3,419,73.7,22.0,True,True,9,False,349
120,74.9,19.6,612,54.5,17.4,529,63.6,417,73.5,20.3,True,True,10,False,348
121,58.6,19.4,609,54.5,20.8,527,62.9,305,59.7,18.8,True,True,0,False,348
122,61.6,19.7,608,52.5,19.7,525,68.5,302,62.5,19.4,True,True,1,False,348
123,60.7,19.8,607,52.2,18.3,525,66.4,307,63.3,19.8,False,False,2,False,349
124,59.3,19.7,605,54.4,17.7,524,65.3,345,60.6,18.7,True,True,3,False,350
125,57.4,18.8,603,55.3,16.0,524,68.8,315,57.3,20.6,True,True,4,False,351
126,57.2,18.8,600,54.6,20.6,524,67.7,358,55.2,19.9,True,True,5,False,349
127,58.6,19.1,599,56.1,18.4,522,70.1,375,58.1,19.7,True,True,6,False,349
128,56.6,18.5,596,55.8,17.0,521,68.3,295,58.6,20.2,True,True,7,False,348
129,56.0,19.0,593,54.0,18.8,520,70.0,411,55.5,19.7,True,True,8,False,349
130,55.9,18.1,592,54.7,20.7,518,69.4,295,58.5,17.3,True,True,9,False,350
131,52.6,18.7,590,55.3,16.6,518,72.9,418,50.4,20.3,True,True,10,False,350
132,55.8,18.0,589,55.3,16.9,518,74.7,343,55.6,17.5,True,True,0,False,349
133,54.6,17.8,586,56.9,18.2,518,73.2,292,53.1,16.9,True,True,1,False,349
134,52.6,18.4,584,56.9,16.3,517,70.4,413,50.9,18.3,True,True,2,False,348
135,53.5,18.5,583,57.5,16.9,518,73.7,386,52.9,18.4,True,True,3,False,347
136,51.2,17.7,583,55.0,20.2,519,75.5,364,52.1,19.5,True,True,4,False,346
137,48.7,17.6,580,56.9,17.1,519,72.2,365,47.5,19.3,True,True,5,False,344
138,48.4,18.0,579,57.0,17.8,518,75.4,416,49.3,17.9,True,True,6,False,343
139,50.5,18.0,577,55.8,18.9,518,75.5,317,47.6,18.7,True,True,7,False,342
140,49.2,17.3,574,55.1,17.8,518,72.7,405,49.0,18.5,True,True,8,False,342
141,46.3,17.3,571,56.0,17.1,516,76.9,339,43.7,16.8,True,True,9,False,342
142,46.9,17.6,570,54.0,18.5,516,77.3,350,47.1,17.5,True,True,10,False,341
143,47.3,17.9,569,55.4,18.3,516,72.9,381,44.8,19.8,True,True,0,False,340
144,44.9,17.2,568,56.3,20.2,517,76.9,282,46.1,16.4,True,True,1,False,340
145,45.9,17.8,565,54.7,16.2,517,77.8,351,48.3,18.5,True,True,2,False,339
146,46.6,17.7,563,54.5,16.7,518,75.5,418,45.6,19.0,True,True,3,False,339
147,46.3,17.2,562,55.9,19.2,517,77.8,381,49.1,17.2,True,True,4,False,340
148,45.1,16.9,561,54.6,19.9,518,75.3,301,43.7,17.0,True,True,5,False,341
149,42.2,17.0,560,54.2,17.8,518,72.4,411,41.6,16.1,True,True,6,False,341
150,41.6,16.9,559,54.8,17.3,517,74.1,377,39.6,16.7,True,True,7,False,339
151,41.5,16.9,559,52.8,18.0,516,73.5,307,39.3,15.9,True,True,8,False,338
152,44.0,17.4,557,53.4,19.5,516,74.1,381,46.8,17.3,True,True,9,False,336
153,42.4,16.8,556,53.9,20.0,516,73.6,398,45.1,16.4,True,True,10,False,334
154,43.6,17.4,554,51.6,18.4,517,75.8,376,41.0,19.4,True,True,0,False,335
155,41.7,17.4,551,53.0,19.2,516,75.0,291,42.1,18.3,True,True,1,False,335
156,43.9,17.3,551,52.0,18.4,516,71.2,408,41.8,19.3,True,True,2,False,335
157,41.2,16.6,548,54.0,19.5,516,75.2,369,41.1,16.9,True,True,3,False,335
158,41.3,17.3,546,51.2,17.2,514,70.6,364,41.7,19.2,True,True,4,False,333
159,41.7,17.1,545,50.4,18.7,514,72.1,296,42.2,18.5,True,True,5,False,332
160,41.7,16.6,544,50.1,19.5,513,73.1,397,42.4,18.0,True,True,6,False,331
161,41.6,16.6,543,51.4,18.1,512,69.5,387,42.2,17.3,True,True,7,False,332
162,42.5,17.5,542,50.7,18.4,512,73.8,293,44.7,19.4,True,True,8,False,332
163,41.6,17.1,541,49.7,18.7,512,71.6,336,40.4,16.9,True,True,9,False,331
164,41.8,17.3,538,49.6,16.5,510,71.8,392,42.1,19.3,True,True,10,False,331
165,44.8,16.9,537,50.4,18.1,509,72.7,369,47.0,17.7,True,True,0,False,330
166,44.4,17.5,535,50.1,18.6,508,71.0,354,44.8,19.4,True,True,1,False,328
167,45.9,16.9,533,49.9,18.4,507,70.1,343,47.5,17.9,True,True,2,False,326
168,45.1,17.2,530,47.3,16.5,507,67.7,280,47.3,18.7,True,True,3,False,325
169,47.2,17.5,528,48.3,20.3,508,69.4,366,47.5,16.9,True,True,4,False,326
170,47.0,17.6,526,49.0,16.7,508,64.0,389,45.2,18.7,True,True,5,False,327
171,47.0,17.9,524,45.6,16.5,507,64.7,339,46.6,17.2,True,True,6,False,326
172,45.8,17.6,522,44.9,16.5,508,65.5,338,45.1,18.8,True,True,7,False,327
173,46.8,17.2,521,47.7,18.2,508,66.3,318,49.3,18.0,True,True,8,False,325
174,47.1,17.3,519,47.4,19.0,508,61.7,343,47.4,18.1,True,True,9,False,324
175,50.0,18.1,517,46.2,18.5,506,64.2,341,50.0,17.4,True,True,10,False,323
176,49.9,18.3,515,45.2,17.3,506,65.4,298,47.0,17.5,True,True,0,False,322
177,48.4,18.2,513,42.9,16.8,506,61.8,410,50.9,20.1,True,True,1,False,322
178,50.2,18.2,510,44.7,16.3,506,61.9,391,47.9,19.0,True,True,2,False,320
179,52.3,17.7,509,44.6,20.5,507,57.3,348,53.7,17.1,True,True,3,False,320
180,51.7,18.2,506,43.4,16.5,507,58.0,322,50.9,18.0,True,True,4,False,319
181,53.3,18.0,505,44.2,19.7,507,58.7,289,53.6,19.7,True,True,5,False,319
182,53.4,18.2,503,42.3,18.3,506,59.2,291,56.1,17.4,True,True,6,False,319
183,53.5,18.3,503,44.1,19.9,507,57.4,374,54.1,18.8,True,True,7,False,318
184,53.9,18.8,503,44.0,19.3,507,54.8,282,56.6,17.8,True,True,8,False,317
185,57.1,18.3,503,43.0,18.3,506,55.7,413,56.6,20.0,True,True,9,False,318
186,57.4,18.8,501,42.2,20.2,504,55.5,360,60.0,19.0,True,True,10,False,317
187,56.3,18.6,500,41.4,18.3,504,56.6,417,55.4,19.9,True,True,0,False,318
188,57.4,18.6,498,42.8,17.3,505,54.9,381,57.5,19.6,True,True,1,False,318
189,60.1,19.0,495,39.3,17.9,506,52.0,336,57.9,20.5,True,True,2,False,318
190,59.2,19.3,494,41.5,16.3,506,50.1,364,56.9,21.1,True,True,3,False,317
191,60.9,19.6,493,40.5,17.2,507,50.7,318,58.1,20.5,True,True,4,False,317
192,58.8,19.6,492,40.3,17.8,508,47.3,284,61.7,20.9,True,True,5,False,317
193,60.3,20.0,491,40.4,18.6,508,49.2,351,57.7,22.0,True,True,6,False,316
194,61.6,20.2,488,42.3,20.0,507,46.0,324,59.7,21.0,True,True,7,False,317
195,61.6,19.4,485,41.9,18.6,505,48.9,294,60.0,19.1,True,True,8,False,317
196,59.1,19.7,482,41.8,20.8,504,44.7,308,61.2,21.3,True,True,9,False,317
197,60.9,20.1,481,41.9,19.5,504,43.8,361,58.9,22.0,True,True,10,False,316
198,63.3,20.0,481,41.2,18.8,504,46.0,380,65.4,21.3,True,True,0,False,316
199,60.5,20.8,478,39.3,20.1,503,45.5,322,61.3,22.7,True,True,1,False,315
200,76.0,20.4,477,40.9,20.8,501,41.2,292,75.3,21.6,True,True,2,True,315
201,77.3,20.6,477,40.0,16.5,499,43.7,355,74.4,20.4,True,True,3,True,316
202,74.1,20.6,477,41.6,17.0,498,40.3,391,72.0,19.9,True,True,4,True,314
203,73.1,21.3,476,40.9,18.1,497,43.6,405,71.0,21.4,True,True,5,True,314
204,73.8,21.3,475,40.8,17.3,498,39.8,381,73.6,23.0,True,True,6,True,315
205,75.9,21.2,475,39.8,16.5,499,40.3,295,73.8,22.3,True,True,7,True,315
206,76.0,21.4,474,41.6,19.6,499,42.0,356,73.5,23.1,True,True,8,True,314
207,75.0,21.9,471,42.1,19.4,500,41.0,312,72.3,21.1,True,True,9,False,314
208,73.2,21.4,469,41.9,19.9,501,40.0,413,72.9,23.0,True,True,10,True,313
209,75.7,21.9,468,40.9,16.9,501,38.4,404,76.1,22.3,True,True,0,False,313
210,74.4,22.3,467,41.5,17.6,499,37.9,285,73.4,23.7,True,True,1,False,314
211,61.4,22.4,466,42.6,20.1,499,40.8,302,59.5,22.0,True,True,2,False,314
212,60.6,22.8,463,42.5,17.0,500,39.5,287,58.6,24.4,True,True,3,False,313
213,57.4,22.1,463,39.8,18.2,500,36.4,287,55.9,22.6,True,True,4,False,312
214,60.5,22.7,461,41.8,19.4,499,35.9,334,62.6,23.6,True,True,5,False,311
215,57.2,22.4,458,41.8,19.6,498,38.2,344,57.9,24.2,False,False,6,False,309
216,58.4,23.4,457,41.6,17.4,499,38.4,375,58.8,24.2,False,False,7,False,309
217,57.7,23.0,456,42.7,19.0,499,34.6,294,59.5,24.4,True,True,8,False,309
218,57.0,23.5,455,43.8,19.4,499,36.7,328,56.1,24.6,True,True,9,False,308
219,56.2,23.9,453,43.3,19.3,497,34.7,326,58.9,25.6,True,True,10,False,307
220,53.9,23.9,452,42.6,16.6,497,34.9,298,53.7,23.5,True,True,0,False,306
221,55.1,23.6,451,44.2,19.2,498,37.5,326,56.8,24.1,True,True,1,False,306
222,52.4,23.3,450,44.9,17.0,497,33.8,402,51.7,22.4,True,True,2,False,307
223,52.5,23.8,449,42.8,18.9,495,37.1,359,50.3,24.0,True,True,3,False,305
224,50.9,23.9,447,46.4,20.9,494,33.8,383,48.0,23.6,True,True,4,False,305
225,50.4,24.3,444,43.6,19.4,494,32.7,307,51.3,23.4,True,True,5,False,303
226,50.5,24.4,443,45.4,18.1,492,34.9,349,51.2,25.5,True,True,6,False,303
227,51.8,24.6,443,46.3,17.0,492,33.8,321,49.0,25.1,True,True,7,False,302
228,51.2,24.1,443,46.0,20.9,492,36.2,345,52.1,24.5,True,True,8,False,300
229,47.9,25.1,442,45.3,19.2,491,37.5,291,45.0,24.5,True,True,9,False,299
230,47.5,25.3,439,49.0,18.4,491,34.0,349,49.5,26.4,True,True,10,False,299
231,47.2,24.7,436,49.4,19.1,491,33.4,326,47.9,26.0,True,True,0,False,299
232,48.4,25.4,435,49.8,19.8,492,38.2,283,49.6,26.4,True,True,1,False,298
233,46.6,25.7,433,48.9,20.9,491,37.1,318,48.6,26.4,True,True,2,False,298
234,44.0,25.0,431,49.6,18.0,492,38.4,409,42.3,25.9,True,True,3,False,297
235,44.2,25.8,430,49.3,19.0,491,36.3,420,41.2,25.1,True,True,4,False,296
236,45.2,25.6,428,49.1,18.3,491,35.2,401,46.5,25.7,True,True,5,False,296
237,42.7,25.2,426,50.9,18.0,490,36.4,315,44.6,26.4,True,True,6,False,294
238,42.9,25.4,426,49.4,19.3,491,39.8,311,44.5,25.8,True,True,7,False,295
239,45.3,25.9,426,49.5,19.0,490,38.3,312,42.9,26.9,True,True,8,False,293
240,42.4,25.9,423,52.9,18.6,490,39.2,385,43.0,27.6,True,True,9,False,293
241,44.2,25.9,420,51.9,20.8,490,40.4,313,47.1,26.9,True,True,10,False,292
242,42.6,26.0,419,52.8,16.7,489,37.2,283,42.7,25.1,True,True,0,False,291
243,43.0,26.5,418,51.2,20.3,489,38.0,371,44.9,25.8,True,True,1,False,290
244,43.2,26.5,418,54.2,19.7,487,40.9,360,46.0,25.7,True,True,2,False,290
245,40.9,26.7,418,54.5,18.6,485,40.8,299,39.0,26.2,True,True,3,False,288
246,41.5,26.5,416,53.1,20.2,486,39.5,293,43.1,27.4,True,True,4,False,287
247,41.2,26.6,414,54.8,17.1,484,39.8,419,41.4,25.9,True,True,5,False,287
248,40.9,26.4,412,53.3,17.6,482,41.3,342,43.7,27.4,True,True,6,False,288
249,43.8,26.5,410,56.0,16.5,481,43.8,329,42.7,25.7,True,True,7,False,287
250,44.1,26.7,409,55.5,19.7,480,45.0,391,45.0,28.5,True,True,8,False,287
251,41.0,26.6,408,54.5,16.1,479,42.5,395,41.8,26.9,True,True,9,False,285
252,43.3,26.9,405,55.0,17.9,477,46.4,302,42.0,28.7,True,True,10,False,284
253,44.2,26.5,403,53.2,20.4,476,44.7,375,46.9,25.5,True,True,0,False,282
254,41.8,26.9,400,53.4,19.1,475,46.5,411,39.7,26.5,True,True,1,False,281
255,42.6,27.1,400,53.9,19.4,473,48.2,404,45.3,27.2,True,True,2,False,280
256,42.9,26.5,399,54.7,17.6,473,46.7,360,45.7,26.0,True,True,3,False,278
257,45.6,27.1,397,56.5,19.0,472,48.0,404,45.9,26.6,True,True,4,False,278
258,46.3,26.6,395,57.2,18.7,470,50.4,334,48.7,27.3,True,True,5,False,278
259,47.4,27.3,395,55.7,19.1,471,50.1,341,49.5,28.7,True,True,6,False,276
260,44.6,26.9,392,56.0,19.3,470,49.8,296,43.2,26.6,True,True,7,False,275
261,46.6,26.9,391,57.1,17.9,469,55.0,419,47.0,27.0,True,True,8,False,276
262,47.5,26.6,391,57.6,18.6,469,51.8,315,47.1,26.3,False,False,9,False,276
263,46.9,26.7,390,54.6,18.1,469,54.7,333,47.4,27.6,True,True,10,False,274
264,47.4,27.1,387,54.5,16.1,467,52.7,383,48.0,27.8,True,True,0,False,274
265,49.9,26.8,386,56.6,16.8,466,53.2,326,50.6,27.3,True,True,1,False,275
266,50.5,27.1,385,57.6,16.9,466,53.9,387,52.5,27.9,True,True,2,False,275
267,52.0,27.3,384,56.2,16.2,465,57.5,390,52.1,27.4,True,True,3,False,273
268,51.2,27.2,383,54.6,18.0,463,59.8,301,49.9,28.8,True,True,4,False,272
269,50.6,27.2,382,56.4,20.3,462,59.3,389,51.5,27.0,True,True,5,False,271
270,52.2,26.6,382,54.9,18.0,461,60.7,358,52.7,27.9,True,True,6,False,272
271,51.8,26.4,379,56.8,16.0,461,58.8,293,49.8,28.3,True,True,7,False,271
272,52.3,27.2,379,53.7,19.6,462,60.8,382,53.0,27.8,True,True,8,False,271
273,55.0,27.0,377,56.8,17.8,463,62.8,339,55.7,28.0,True,True,9,False,271
274,55.9,26.3,376,56.7,19.6,462,61.3,297,58.4,26.9,True,True,10,False,270
275,56.1,26.5,375,54.9,17.7,462,65.3,307,56.5,27.0,True,True,0,False,268
276,55.0,26.3,373,54.4,20.3,461,64.3,397,56.1,28.0,True,True,1,False,268
277,57.1,26.4,372,53.1,20.1,461,66.6,353,54.7,27.4,True,True,2,False,267
278,56.0,26.4,370,55.5,17.2,461,64.6,347,54.2,26.0,True,True,3,False,266
279,58.8,26.0,368,52.1,20.5,459,68.7,360,58.8,28.0,True,True,4,False,264
280,60.3,26.8,367,53.2,19.9,459,69.3,408,59.4,28.4,True,True,5,False,265
281,59.1,26.2,366,51.4,17.3,457,66.4,346,57.2,26.0,True,True,6,False,264
282,61.6,25.8,365,51.9,20.0,457,67.6,338,63.5,27.0,True,True,7,False,264
283,60.4,25.7,362,53.7,18.4,456,70.5,412,60.6,25.6,True,True,8,False,265
284,59.6,25.5,361,53.3,20.1,457,66.9,372,58.8,26.2,True,True,9,False,264
285,60.3,25.7,358,51.2,17.4,455,70.9,394,62.6,25.8,True,True,10,False,264
286,61.7,25.4,357,49.8,19.0,454,72.2,361,62.6,26.5,True,True,0,False,264
287,61.0,25.9,355,52.4,16.4,453,73.5,344,63.6,27.0,True,True,1,False,264
288,60.3,25.1,352,48.8,17.5,454,73.6,301,61.2,26.8,True,True,2,False,262
289,60.8,25.6,351,49.2,20.7,455,69.5,349,61.1,25.0,True,True,3,False,262
290,62.1,25.3,349,50.0,16.8,454,73.7,393,60.9,25.5,True,True,4,False,262
291,60.0,25.5,348,49.4,19.0,452,70.4,282,61.6,26.9,True,True,5,False,261
292,63.2,24.8,347,49.1,19.8,452,75.2,300,62.7,24.5,True,True,6,False,260
293,63.6,25.1,345,49.7,19.1,451,72.0,396,64.3,24.9,True,True,7,False,260
294,60.6,24.4,344,46.1,18.1,451,73.8,318,57.7,24.1,True,True,8,False,261
295,62.9,24.6,344,47.7,17.3,451,75.1,400,61.0,26.3,True,True,9,False,262
296,61.1,25.1,343,45.3,17.6,451,75.4,333,60.9,26.1,True,True,10,False,263
297,60.6,24.0,340,47.4,18.2,451,77.0,335,63.4,23.7,True,True,0,False,262
298,59.1,24.4,339,47.7,17.7,452,73.9,320,59.1,25.5,True,True,1,False,260
299,62.6,23.8,338,47.1,17.0,453,73.8,368,64.4,24.1,True,True,2,False,261
